,time,t2m,longitude,latitude,Fault_Label,Fault_Type
0,2023-01-01 00:00:00,-24.837220000000002,-26,71,0,0
1,2023-01-01 01:00:00,-19.066100264509636,-26,71,1,1
2,2023-01-01 02:00:00,-23.46038999999999,-26,71,0,0
3,2023-01-01 03:00:00,-22.781499999999994,-26,71,0,0
4,2023-01-01 04:00:00,-22.310360000000003,-26,71,0,0
5,2023-01-01 05:00:00,-21.775450000000006,-26,71,0,0
6,2023-01-01 06:00:00,-27.10064690555766,-26,71,1,1
7,2023-01-01 07:00:00,-15.094106500669868,-26,71,1,1
8,2023-01-01 08:00:00,-19.57593,-26,71,0,0
9,2023-01-01 09:00:00,-19.275090000000006,-26,71,0,0
10,2023-01-01 10:00:00,-18.983800000000002,-26,71,0,0
11,2023-01-01 11:00:00,-18.67009999999999,-26,71,0,0
12,2023-01-01 12:00:00,-18.234340000000003,-26,71,0,0
13,2023-01-01 13:00:00,-17.747500000000002,-26,71,0,0
14,2023-01-01 14:00:00,-22.972892784802394,-26,71,1,1
15,2023-01-01 15:00:00,-10.931720673696903,-26,71,1,1
16,2023-01-01 16:00:00,-16.631349999999998,-26,71,0,0
17,2023-01-01 17:00:00,-16.546449999999993,-26,71,0,0
18,2023-01-01 18:00:00,-16.480039999999974,-26,71,0,0
19,2023-01-01 19:00:00,-16.370540000000005,-26,71,0,0
20,2023-01-01 20:00:00,-16.244019999999978,-26,71,0,0
21,2023-01-01 21:00:00,-16.00317000000001,-26,71,0,0
22,2023-01-01 22:00:00,-15.841979999999978,-26,71,0,0
23,2023-01-01 23:00:00,-15.651549999999986,-26,71,0,0
24,2023-01-02 00:00:00,-15.561699999999973,-26,71,0,0
25,2023-01-02 01:00:00,-15.329160000000002,-26,71,0,0
26,2023-01-02 02:00:00,-15.31128000000001,-26,71,0,0
27,2023-01-02 03:00:00,-15.077150000000017,-26,71,0,0
28,2023-01-02 04:00:00,-9.256616297531881,-26,71,1,1
29,2023-01-02 05:00:00,-19.79481610673269,-26,71,1,1
30,2023-01-02 06:00:00,-14.491899999999987,-26,71,0,0
31,2023-01-02 07:00:00,-14.541319999999985,-26,71,0,0
32,2023-01-02 08:00:00,-14.671539999999993,-26,71,0,0
33,2023-01-02 09:00:00,-14.917100000000005,-26,71,0,0
34,2023-01-02 10:00:00,-15.015899999999988,-26,71,0,0
35,2023-01-02 11:00:00,-21.073062932163047,-26,71,1,1
36,2023-01-02 12:00:00,-15.980770000000007,-26,71,0,0
37,2023-01-02 13:00:00,-10.648383131193528,-26,71,1,1
38,2023-01-02 14:00:00,-11.491259967056061,-26,71,1,1
39,2023-01-02 15:00:00,-10.650268315795092,-26,71,1,1
40,2023-01-02 16:00:00,-15.748839999999973,-26,71,0,0
41,2023-01-02 17:00:00,-15.370150000000024,-26,71,0,0
42,2023-01-02 18:00:00,-15.292880000000025,-26,71,0,0
43,2023-01-02 19:00:00,-14.743299999999977,-26,71,0,0
44,2023-01-02 20:00:00,-14.17113999999998,-26,71,0,0
45,2023-01-02 21:00:00,-19.093635902470936,-26,71,1,1
46,2023-01-02 22:00:00,-13.228400000000022,-26,71,0,0
47,2023-01-02 23:00:00,-12.76830000000001,-26,71,0,0
48,2023-01-03 00:00:00,-11.98205999999999,-26,71,0,0
49,2023-01-03 01:00:00,-11.480070000000012,-26,71,0,0
50,2023-01-03 02:00:00,-11.19565,-26,71,0,0
51,2023-01-03 03:00:00,-16.794258227563457,-26,71,1,1
52,2023-01-03 04:00:00,-11.25630000000001,-26,71,0,0
53,2023-01-03 05:00:00,-16.40446472298308,-26,71,1,1
54,2023-01-03 06:00:00,-11.293029999999987,-26,71,0,0
55,2023-01-03 07:00:00,-11.208439999999996,-26,71,0,0
56,2023-01-03 08:00:00,-11.26636000000002,-26,71,0,0
57,2023-01-03 09:00:00,-11.235259999999982,-26,71,0,0
58,2023-01-03 10:00:00,-5.958765969921732,-26,71,1,1
59,2023-01-03 11:00:00,-16.44589773222674,-26,71,1,1
60,2023-01-03 12:00:00,-4.444117982063273,-26,71,1,1
61,2023-01-03 13:00:00,-15.362441147301922,-26,71,1,1
62,2023-01-03 14:00:00,-9.413149999999973,-26,71,0,0
63,2023-01-03 15:00:00,-8.891399999999976,-26,71,0,0
64,2023-01-03 16:00:00,-8.661130000000014,-26,71,0,0
