,time,t2m,longitude,latitude,Fault_Label,Fault_Type
0,2019-01-01 12:00:00,-6.709021253428346,-25,70,1,2
1,2019-01-02 12:00:00,-6.684661865234375,-25,70,0,0
2,2019-01-03 12:00:00,-3.9881591796875,-25,70,0,0
3,2019-01-04 12:00:00,-5.791229248046875,-25,70,0,0
4,2019-01-05 12:00:00,-5.251201063462186,-25,70,1,2
5,2019-01-06 12:00:00,-15.085968017578125,-25,70,0,0
6,2019-01-07 12:00:00,-6.146769490257356,-25,70,1,2
7,2019-01-08 12:00:00,-11.876007080078125,-25,70,0,0
8,2019-01-09 12:00:00,-6.100551472849554,-25,70,1,2
9,2019-01-10 12:00:00,-7.350049315661892,-25,70,1,2
10,2019-01-11 12:00:00,-16.25762939453125,-25,70,0,0
11,2019-01-12 12:00:00,-20.203903198242188,-25,70,0,0
12,2019-01-13 12:00:00,-24.37274169921875,-25,70,0,0
13,2019-01-14 12:00:00,-7.579233589058584,-25,70,1,2
14,2019-01-15 12:00:00,-24.57366943359375,-25,70,0,0
15,2019-01-16 12:00:00,-22.173416137695312,-25,70,0,0
16,2019-01-17 12:00:00,-21.251541137695312,-25,70,0,0
17,2019-01-18 12:00:00,-19.4849853515625,-25,70,0,0
18,2019-01-19 12:00:00,-14.721221923828125,-25,70,0,0
19,2019-01-20 12:00:00,-15.403381347656307,-25,70,0,0
20,2019-01-21 12:00:00,-7.365984873977711,-25,70,1,2
21,2019-01-22 12:00:00,-12.957794189453125,-25,70,0,0
22,2019-01-23 12:00:00,-8.964904785156307,-25,70,0,0
23,2019-01-24 12:00:00,-10.548980712890625,-25,70,0,0
24,2019-01-25 12:00:00,-10.8619384765625,-25,70,0,0
25,2019-01-26 12:00:00,-17.5609130859375,-25,70,0,0
26,2019-01-27 12:00:00,-17.920654296875,-25,70,0,0
27,2019-01-28 12:00:00,-16.96356201171875,-25,70,0,0
28,2019-01-29 12:00:00,-19.41259765625,-25,70,0,0
29,2019-01-30 12:00:00,-22.261795043945312,-25,70,0,0
30,2019-01-31 12:00:00,-7.014008790992923,-25,70,1,2
31,2019-02-01 12:00:00,-23.12371826171875,-25,70,0,0
32,2019-02-02 12:00:00,-7.045895995712069,-25,70,1,2
33,2019-02-03 12:00:00,-20.387374877929688,-25,70,0,0
34,2019-02-04 12:00:00,-16.5855712890625,-25,70,0,0
35,2019-02-05 12:00:00,-8.943079315470587,-25,70,1,2
36,2019-02-06 12:00:00,-16.75091552734375,-25,70,0,0
37,2019-02-07 12:00:00,-6.773219408411315,-25,70,1,2
38,2019-02-08 12:00:00,-21.441879272460966,-25,70,0,0
39,2019-02-09 12:00:00,-20.306533813476562,-25,70,0,0
40,2019-02-10 12:00:00,-22.2952880859375,-25,70,0,0
41,2019-02-11 12:00:00,-22.51292419433591,-25,70,0,0
42,2019-02-12 12:00:00,-17.72007751464841,-25,70,0,0
43,2019-02-13 12:00:00,-15.182830810546875,-25,70,0,0
44,2019-02-14 12:00:00,-15.249114990234375,-25,70,0,0
45,2019-02-15 12:00:00,-17.322952270507812,-25,70,0,0
46,2019-02-16 12:00:00,-20.60093688964841,-25,70,0,0
47,2019-02-17 12:00:00,-21.48455810546875,-25,70,0,0
48,2019-02-18 12:00:00,-5.955846308600967,-25,70,1,2
49,2019-02-19 12:00:00,-18.541000366210966,-25,70,0,0
50,2019-02-20 12:00:00,-12.06689453125,-25,70,0,0
51,2019-02-21 12:00:00,-9.06707763671875,-25,70,0,0
52,2019-02-22 12:00:00,-7.298492431640625,-25,70,0,0
53,2019-02-23 12:00:00,-6.707916259765625,-25,70,0,0
54,2019-02-24 12:00:00,-8.538818359375,-25,70,0,0
55,2019-02-25 12:00:00,-9.262298583984375,-25,70,0,0
56,2019-02-26 12:00:00,-7.185028076171875,-25,70,0,0
57,2019-02-27 12:00:00,-9.43988037109375,-25,70,0,0
58,2019-02-28 12:00:00,-10.979095458984375,-25,70,0,0
59,2019-03-01 12:00:00,-17.57891845703125,-25,70,0,0
60,2019-03-02 12:00:00,-18.331497192382812,-25,70,0,0
61,2019-03-03 12:00:00,-14.867736816406307,-25,70,0,0
62,2019-03-04 12:00:00,-19.67352294921875,-25,70,0,0
63,2019-03-05 12:00:00,-19.550125122070312,-25,70,0,0
64,2019-03-06 12:00:00,-19.830215454101562,-25,70,0,0
65,2019-03-07 12:00:00,-19.395263671875,-25,70,0,0
66,2019-03-08 12:00:00,-18.240234375,-25,70,0,0
67,2019-03-09 12:00:00,-5.253872266063362,-25,70,1,2
68,2019-03-10 12:00:00,-4.342022426375943,-25,70,1,2
69,2019-03-11 12:00:00,-13.553802490234375,-25,70,0,0
70,2019-03-12 12:00:00,-13.459991455078125,-25,70,0,0
71,2019-03-13 12:00:00,-13.4208984375,-25,70,0,0
72,2019-03-14 12:00:00,-12.1053466796875,-25,70,0,0
73,2019-03-15 12:00:00,-14.362762451171875,-25,70,0,0
74,2019-03-16 12:00:00,-16.109161376953125,-25,70,0,0
75,2019-03-17 12:00:00,-17.703659057617188,-25,70,0,0
76,2019-03-18 12:00:00,-14.260833740234375,-25,70,0,0
77,2019-03-19 12:00:00,-17.0157470703125,-25,70,0,0
78,2019-03-20 12:00:00,-20.041336059570312,-25,70,0,0
79,2019-03-21 12:00:00,-24.392333984375,-25,70,0,0
80,2019-03-22 12:00:00,-15.418853759765625,-25,70,0,0
81,2019-03-23 12:00:00,-15.228759765625,-25,70,0,0
82,2019-03-24 12:00:00,-15.870880126953125,-25,70,0,0
83,2019-03-25 12:00:00,-7.500508762526624,-25,70,1,2
84,2019-03-26 12:00:00,-8.372076312672347,-25,70,1,2
85,2019-03-27 12:00:00,-14.295867919921875,-25,70,0,0
86,2019-03-28 12:00:00,-16.532440185546875,-25,70,0,0
87,2019-03-29 12:00:00,-17.647842407226562,-25,70,0,0
88,2019-03-30 12:00:00,-7.019643651656459,-25,70,1,2
89,2019-03-31 12:00:00,-8.7769554480238,-25,70,1,2
90,2019-04-01 12:00:00,-13.197418212890625,-25,70,0,0
91,2019-04-02 12:00:00,-15.969635009765625,-25,70,0,0
92,2019-04-03 12:00:00,-9.700347900390625,-25,70,0,0
93,2019-04-04 12:00:00,-9.008758544921875,-25,70,0,0
94,2019-04-05 12:00:00,-12.001800537109375,-25,70,0,0
95,2019-04-06 12:00:00,-9.587066650390625,-25,70,0,0
96,2019-04-07 12:00:00,-8.553558349609375,-25,70,0,0
97,2019-04-08 12:00:00,-7.508514404296875,-25,70,0,0
98,2019-04-09 12:00:00,-6.662600687482474,-25,70,1,2
99,2019-04-10 12:00:00,-6.325928802484027,-25,70,1,2
100,2019-04-11 12:00:00,-5.710845947265625,-25,70,0,0
101,2019-04-12 12:00:00,-3.082427978515625,-25,70,0,0
102,2019-04-13 12:00:00,-0.635711669921875,-25,70,0,0
103,2019-04-14 12:00:00,-0.945404052734375,-25,70,0,0
104,2019-04-15 12:00:00,-0.867340087890625,-25,70,0,0
105,2019-04-16 12:00:00,-1.287384033203125,-25,70,0,0
106,2019-04-17 12:00:00,-2.703582763671875,-25,70,0,0
107,2019-04-18 12:00:00,-6.969287857020569,-25,70,1,2
108,2019-04-19 12:00:00,-2.326812744140625,-25,70,0,0
109,2019-04-20 12:00:00,-5.931879284437627,-25,70,1,2
110,2019-04-21 12:00:00,-9.403045654296875,-25,70,0,0
111,2019-04-22 12:00:00,-10.5,-25,70,0,0
112,2019-04-23 12:00:00,-10.552703857421875,-25,70,0,0
113,2019-04-24 12:00:00,-5.948791503906307,-25,70,0,0
114,2019-04-25 12:00:00,-8.930659817691192,-25,70,1,2
115,2019-04-26 12:00:00,-1.308563232421875,-25,70,0,0
116,2019-04-27 12:00:00,-7.596904572930132,-25,70,1,2
117,2019-04-28 12:00:00,2.097503662109375,-25,70,0,0
118,2019-04-29 12:00:00,1.618072509765625,-25,70,0,0
119,2019-04-30 12:00:00,3.27374267578125,-25,70,0,0
120,2019-05-01 12:00:00,-0.3310546875,-25,70,0,0
121,2019-05-02 12:00:00,-6.34466552734375,-25,70,0,0
122,2019-05-03 12:00:00,-6.996824405196177,-25,70,1,2
123,2019-05-04 12:00:00,-2.902496337890625,-25,70,0,0
124,2019-05-05 12:00:00,-4.43182373046875,-25,70,0,0
125,2019-05-06 12:00:00,-2.558166503906307,-25,70,0,0
126,2019-05-07 12:00:00,-3.857452392578125,-25,70,0,0
127,2019-05-08 12:00:00,-6.042755126953125,-25,70,0,0
128,2019-05-09 12:00:00,-6.216644287109375,-25,70,0,0
129,2019-05-10 12:00:00,-6.834075927734375,-25,70,0,0
130,2019-05-11 12:00:00,-7.321005653820753,-25,70,1,2
131,2019-05-12 12:00:00,-5.1380615234375,-25,70,0,0
132,2019-05-13 12:00:00,-4.541076660156307,-25,70,0,0
133,2019-05-14 12:00:00,-1.253997802734375,-25,70,0,0
134,2019-05-15 12:00:00,-8.673743974482669,-25,70,1,2
135,2019-05-16 12:00:00,-8.221656993417298,-25,70,1,2
136,2019-05-17 12:00:00,0.05059814453125,-25,70,0,0
137,2019-05-18 12:00:00,-5.429004806601311,-25,70,1,2
138,2019-05-19 12:00:00,-7.889480513713106,-25,70,1,2
139,2019-05-20 12:00:00,-1.017730712890625,-25,70,0,0
140,2019-05-21 12:00:00,-1.402801513671875,-25,70,0,0
141,2019-05-22 12:00:00,-1.556060791015625,-25,70,0,0
142,2019-05-23 12:00:00,-6.7141659740511415,-25,70,1,2
143,2019-05-24 12:00:00,-1.070587158203125,-25,70,0,0
144,2019-05-25 12:00:00,0.116363525390625,-25,70,0,0
145,2019-05-26 12:00:00,-1.622039794921875,-25,70,0,0
146,2019-05-27 12:00:00,-3.286193847656307,-25,70,0,0
147,2019-05-28 12:00:00,-7.560316774952867,-25,70,1,2
148,2019-05-29 12:00:00,-1.592864990234375,-25,70,0,0
149,2019-05-30 12:00:00,-2.943206787109375,-25,70,0,0
150,2019-05-31 12:00:00,-4.017150878906307,-25,70,0,0
151,2019-06-01 12:00:00,-3.381256103515625,-25,70,0,0
152,2019-06-02 12:00:00,-3.117279052734375,-25,70,0,0
153,2019-06-03 12:00:00,-2.169158935546875,-25,70,0,0
154,2019-06-04 12:00:00,-1.0665283203125,-25,70,0,0
155,2019-06-05 12:00:00,-5.967288419597411,-25,70,1,2
156,2019-06-06 12:00:00,-1.193359375,-25,70,0,0
157,2019-06-07 12:00:00,0.218719482421875,-25,70,0,0
158,2019-06-08 12:00:00,0.9301147460936932,-25,70,0,0
159,2019-06-09 12:00:00,0.409210205078125,-25,70,0,0
160,2019-06-10 12:00:00,2.592926025390625,-25,70,0,0
161,2019-06-11 12:00:00,3.083984375,-25,70,0,0
162,2019-06-12 12:00:00,6.666595458984375,-25,70,0,0
163,2019-06-13 12:00:00,7.295379638671875,-25,70,0,0
164,2019-06-14 12:00:00,4.510406494140625,-25,70,0,0
165,2019-06-15 12:00:00,4.719970703125,-25,70,0,0
166,2019-06-16 12:00:00,3.98211669921875,-25,70,0,0
167,2019-06-17 12:00:00,2.021087646484375,-25,70,0,0
168,2019-06-18 12:00:00,1.61236572265625,-25,70,0,0
169,2019-06-19 12:00:00,1.061248779296875,-25,70,0,0
170,2019-06-20 12:00:00,1.9389038085936932,-25,70,0,0
171,2019-06-21 12:00:00,-6.814851127790773,-25,70,1,2
172,2019-06-22 12:00:00,2.412750244140625,-25,70,0,0
173,2019-06-23 12:00:00,2.84423828125,-25,70,0,0
174,2019-06-24 12:00:00,3.368927001953125,-25,70,0,0
175,2019-06-25 12:00:00,3.790435791015625,-25,70,0,0
176,2019-06-26 12:00:00,5.95855712890625,-25,70,0,0
177,2019-06-27 12:00:00,-6.51215947962693,-25,70,1,2
178,2019-06-28 12:00:00,2.36383056640625,-25,70,0,0
179,2019-06-29 12:00:00,2.984161376953125,-25,70,0,0
180,2019-06-30 12:00:00,-7.697938675160742,-25,70,1,2
181,2019-07-01 12:00:00,1.688629150390625,-25,70,0,0
182,2019-07-02 12:00:00,2.373962402343693,-25,70,0,0
183,2019-07-03 12:00:00,3.143951416015625,-25,70,0,0
184,2019-07-04 12:00:00,2.798187255859375,-25,70,0,0
185,2019-07-05 12:00:00,3.79229736328125,-25,70,0,0
186,2019-07-06 12:00:00,2.994232177734375,-25,70,0,0
187,2019-07-07 12:00:00,3.588958740234375,-25,70,0,0
188,2019-07-08 12:00:00,-8.099349696274166,-25,70,1,2
189,2019-07-09 12:00:00,0.917938232421875,-25,70,0,0
190,2019-07-10 12:00:00,1.026458740234375,-25,70,0,0
191,2019-07-11 12:00:00,2.734527587890625,-25,70,0,0
192,2019-07-12 12:00:00,3.159576416015625,-25,70,0,0
193,2019-07-13 12:00:00,4.887969970703125,-25,70,0,0
194,2019-07-14 12:00:00,4.412689208984375,-25,70,0,0
195,2019-07-15 12:00:00,5.148956298828125,-25,70,0,0
196,2019-07-16 12:00:00,-6.968200869696881,-25,70,1,2
197,2019-07-17 12:00:00,2.816436767578125,-25,70,0,0
198,2019-07-18 12:00:00,3.811920166015625,-25,70,0,0
199,2019-07-19 12:00:00,4.4173583984375,-25,70,0,0
200,2019-07-20 12:00:00,4.183563232421875,-25,70,0,0
201,2019-07-21 12:00:00,6.0709228515625,-25,70,0,0
202,2019-07-22 12:00:00,7.00054931640625,-25,70,0,0
203,2019-07-23 12:00:00,-7.885686576355924,-25,70,1,2
204,2019-07-24 12:00:00,1.724090576171875,-25,70,0,0
205,2019-07-25 12:00:00,2.246978759765625,-25,70,0,0
206,2019-07-26 12:00:00,-6.723335856322558,-25,70,1,2
207,2019-07-27 12:00:00,2.425994873046875,-25,70,0,0
208,2019-07-28 12:00:00,3.2139892578125,-25,70,0,0
209,2019-07-29 12:00:00,5.258941650390625,-25,70,0,0
210,2019-07-30 12:00:00,6.64996337890625,-25,70,0,0
211,2019-07-31 12:00:00,5.767181396484375,-25,70,0,0
212,2019-08-01 12:00:00,7.039489746093693,-25,70,0,0
213,2019-08-02 12:00:00,8.036834716796875,-25,70,0,0
214,2019-08-03 12:00:00,6.917938232421875,-25,70,0,0
215,2019-08-04 12:00:00,4.755096435546875,-25,70,0,0
216,2019-08-05 12:00:00,4.819427490234375,-25,70,0,0
217,2019-08-06 12:00:00,3.423309326171875,-25,70,0,0
218,2019-08-07 12:00:00,2.602874755859375,-25,70,0,0
219,2019-08-08 12:00:00,2.978363037109375,-25,70,0,0
220,2019-08-09 12:00:00,2.554046630859375,-25,70,0,0
221,2019-08-10 12:00:00,-8.103156202094944,-25,70,1,2
222,2019-08-11 12:00:00,2.6888427734375,-25,70,0,0
223,2019-08-12 12:00:00,2.18023681640625,-25,70,0,0
224,2019-08-13 12:00:00,1.7929077148436932,-25,70,0,0
225,2019-08-14 12:00:00,1.7484741210936932,-25,70,0,0
226,2019-08-15 12:00:00,-8.204262951938157,-25,70,1,2
227,2019-08-16 12:00:00,-7.093324458064775,-25,70,1,2
228,2019-08-17 12:00:00,-6.759744654919743,-25,70,1,2
229,2019-08-18 12:00:00,1.635986328125,-25,70,0,0
230,2019-08-19 12:00:00,0.660003662109375,-25,70,0,0
231,2019-08-20 12:00:00,-6.177780832146068,-25,70,1,2
232,2019-08-21 12:00:00,-6.8660913732121935,-25,70,1,2
233,2019-08-22 12:00:00,-0.576446533203125,-25,70,0,0
234,2019-08-23 12:00:00,0.16851806640625,-25,70,0,0
235,2019-08-24 12:00:00,0.9923095703125,-25,70,0,0
236,2019-08-25 12:00:00,-6.770015072523431,-25,70,1,2
237,2019-08-26 12:00:00,0.635772705078125,-25,70,0,0
